ABEL MESQUITA JR.,PDT,RR
ADAIL CARNEIRO,PHS,CE
ADALBERTO CAVALCANTI,PTB,PE
ADELMO CARNEIRO LEÃO,PT,MG
ADELSON BARRETO,PTB,SE
ADEMIR CAMILO,PROS,MG
ADILTON SACHETTI,PSB,MT
AELTON FREITAS,PR,MG
AFONSO FLORENCE,PT,BA
AFONSO HAMM,PP,RS
AFONSO MOTTA,PDT,RS
AGUINALDO RIBEIRO,PP,PB
ALAN RICK,PRB,AC
ALBERTO FILHO,PMDB,MA
ALBERTO FRAGA,DEM,DF
ALCEU MOREIRA,PMDB,RS
ALESSANDRO MOLON,PT,RJ
ALEX CANZIANI,PTB,PR
ALEX MANENTE,PPS,SP
ALEXANDRE BALDY,PSDB,GO
ALEXANDRE LEITE,DEM,SP
ALEXANDRE SERFIOTIS,PSD,RJ
ALEXANDRE VALLE,PRP,RJ
ALFREDO KAEFER,PSDB,PR
ALFREDO NASCIMENTO,PR,AM
ALICE PORTUGAL,PCdoB,BA
ALIEL MACHADO,PCdoB,PR
ALTINEU CÔRTES,PR,RJ
ALUISIO MENDES,PSDC,MA
ANA PERUGINI,PT,SP
ANDERSON FERREIRA,PR,PE
ANDRÉ ABDON,PRB,AP
ANDRÉ FIGUEIREDO,PDT,CE
ANDRÉ FUFUCA,PEN,MA
ANDRE MOURA,PSC,SE
ANDRES SANCHEZ,PT,SP
ANGELIM,PT,AC
ANÍBAL GOMES,PMDB,CE
ANTONIO BALHMANN,PROS,CE
ANTONIO BRITO,PTB,BA
ANTONIO BULHÕES,PRB,SP
ANTONIO CARLOS MENDES THAME,PSDB,SP
ANTONIO IMBASSAHY,PSDB,BA
ANTÔNIO JÁCOME,PMN,RN
ARLINDO CHINAGLIA,PT,SP
ARNALDO FARIA DE SÁ,PTB,SP
ARNALDO JORDY,PPS,PA
ARNON BEZERRA,PTB,CE
ARTHUR LIRA,PP,AL
ARTHUR OLIVEIRA MAIA,SD,BA
ARTHUR VIRGÍLIO BISNETO,PSDB,AM
ASSIS CARVALHO,PT,PI
ASSIS DO COUTO,PT,PR
ÁTILA LINS,PSD,AM
ÁTILA LIRA,PSB,PI
AUGUSTO CARVALHO,SD,DF
AUGUSTO COUTINHO,SD,PE
AUREO,SD,RJ
BACELAR,PTN,BA
BALEIA ROSSI,PMDB,SP
BEBETO,PSB,BA
BENEDITA DA SILVA,PT,RJ
BENITO GAMA,PTB,BA
BENJAMIN MARANHÃO,SD,PB
BETINHO GOMES,PSDB,PE
BETO FARO,PT,PA
BETO MANSUR,PRB,SP
BETO ROSADO,PP,RN
BETO SALAME,PROS,PA
BILAC PINTO,PR,MG
BOHN GASS,PT,RS
BONIFÁCIO DE ANDRADA,PSDB,MG
BRUNA FURLAN,PSDB,SP
BRUNNY,PTC,MG
BRUNO ARAÚJO,PSDB,PE
BRUNO COVAS,PSDB,SP
CABO DACIOLO,PSOL,RJ
CABO SABINO,PR,CE
CABUÇU BORGES,PMDB,AP
CACÁ LEÃO,PP,BA
CAETANO,PT,BA
CAIO NARCIO,PSDB,MG
CAPITÃO AUGUSTO,PR,SP
CARLOS ANDRADE,PHS,RR
CARLOS BEZERRA,PMDB,MT
CARLOS EDUARDO CADOCA,PCdoB,PE
CARLOS GOMES,PRB,RS
CARLOS HENRIQUE GAGUIM,PMDB,TO
CARLOS MANATO,SD,ES
CARLOS MARUN,PMDB,MS
CARLOS MELLES,DEM,MG
CARLOS SAMPAIO,PSDB,SP
CARLOS ZARATTINI,PT,SP
CARMEN ZANOTTO,PPS,SC
CÉLIO SILVEIRA,PSDB,GO
CELSO JACOB,PMDB,RJ
CELSO MALDANER,PMDB,SC
CELSO PANSERA,PMDB,RJ
CELSO RUSSOMANNO,PRB,SP
CÉSAR HALUM,PRB,TO
CÉSAR MESSIAS,PSB,AC
CESAR SOUZA,PSD,SC
CHICO ALENCAR,PSOL,RJ
CHICO D'ANGELO,PT,RJ
CHICO LOPES,PCdoB,CE
CHRISTIANE DE SOUZA YARED,PTN,PR
CÍCERO ALMEIDA,PRTB,AL
CLARISSA GAROTINHO,PR,RJ
CLAUDIO CAJADO,DEM,BA
CLEBER VERDE,PRB,MA
CONCEIÇÃO SAMPAIO,PP,AM
COVATTI FILHO,PP,RS
CRISTIANE BRASIL,PTB,RJ
DAGOBERTO,PDT,MS
DAMIÃO FELICIANO,PDT,PB
DÂMINA PEREIRA,PMN,MG
DANIEL ALMEIDA,PCdoB,BA
DANIEL COELHO,PSDB,PE
DANIEL VILELA,PMDB,GO
DANILO FORTE,PMDB,CE
DANRLEI DE DEUS HINTERHOLZ,PSD,RS
DARCÍSIO PERONDI,PMDB,RS
DAVIDSON MAGALHÃES,PCdoB,BA
DÉCIO LIMA,PT,SC
DELEGADO ÉDER MAURO,PSD,PA
DELEGADO EDSON MOREIRA,PTN,MG
DELEGADO WALDIR,PSDB,GO
DELEY,PTB,RJ
DIEGO ANDRADE,PSD,MG
DIEGO GARCIA,PHS,PR
DILCEU SPERAFICO,PP,PR
DIMAS FABIANO,PP,MG
DOMINGOS NETO,PROS,CE
DOMINGOS SÁVIO,PSDB,MG
DR. JOÃO,PR,RJ
DR. JORGE SILVA,PROS,ES
DR. SINVAL MALHEIROS,PV,SP
DULCE MIRANDA,PMDB,TO
EDINHO BEZ,PMDB,SC
EDIO LOPES,PMDB,RR
EDMAR ARRUDA,PSC,PR
EDMILSON RODRIGUES,PSOL,PA
EDUARDO BARBOSA,PSDB,MG
EDUARDO BOLSONARO,PSC,SP
EDUARDO CUNHA,PMDB,RJ
EDUARDO CURY,PSDB,SP
EDUARDO DA FONTE,PP,PE
EFRAIM FILHO,DEM,PB
ELCIONE BARBALHO,PMDB,PA
ELI CORRÊA FILHO,DEM,SP
ELIZEU DIONIZIO,SD,MS
ELIZIANE GAMA,PPS,MA
ELMAR NASCIMENTO,DEM,BA
ENIO VERRI,PT,PR
ERIKA KOKAY,PT,DF
ERIVELTON SANTANA,PSC,BA
EROS BIONDINI,PTB,MG
ESPERIDIÃO AMIN,PP,SC
EVAIR DE MELO,PV,ES
EVANDRO GUSSI,PV,SP
EVANDRO ROGERIO ROMAN,PSD,PR
EXPEDITO NETTO,SD,RO
EZEQUIEL FONSECA,PP,MT
EZEQUIEL TEIXEIRA,SD,RJ
FABIANO HORTA,PT,RJ
FÁBIO FARIA,PSD,RN
FABIO GARCIA,PSB,MT
FÁBIO MITIDIERI,PSD,SE
FÁBIO RAMALHO,PV,MG
FABIO REIS,PMDB,SE
FÁBIO SOUSA,PSDB,GO
FAUSTO PINATO,PRB,SP
FELIPE BORNIER,PSD,RJ
FELIPE MAIA,DEM,RN
FÉLIX MENDONÇA JÚNIOR,PDT,BA
FERNANDO COELHO FILHO,PSB,PE
FERNANDO JORDÃO,PMDB,RJ
FERNANDO MARRONI,PT,RS
FERNANDO MONTEIRO,PP,PE
FERNANDO TORRES,PSD,BA
FLÁVIA MORAIS,PDT,GO
FLAVIANO MELO,PMDB,AC
FLAVINHO,PSB,SP
FRANCISCO CHAPADINHA,PSD,PA
FRANCISCO FLORIANO,PR,RJ
GABRIEL GUIMARÃES,PT,MG
GENECIAS NORONHA,SD,CE
GEOVANIA DE SÁ,PSDB,SC
GERALDO RESENDE,PMDB,MS
GIACOBO,PR,PR
GILBERTO NASCIMENTO,PSC,SP
GIOVANI CHERINI,PDT,RS
GIUSEPPE VECCI,PSDB,GO
GIVALDO CARIMBÃO,PROS,AL
GIVALDO VIEIRA,PT,ES
GLAUBER BRAGA,PSB,RJ
GONZAGA PATRIOTA,PSB,PE
GORETE PEREIRA,PR,CE
GOULART,PSD,SP
GUILHERME MUSSI,PP,SP
HEITOR SCHUCH,PSB,RS
HELDER SALOMÃO,PT,ES
HÉLIO LEITE,DEM,PA
HENRIQUE FONTANA,PT,RS
HERÁCLITO FORTES,PSB,PI
HERCULANO PASSOS,PSD,SP
HERMES PARCIANELLO,PMDB,PR
HEULER CRUVINEL,PSD,GO
HILDO ROCHA,PMDB,MA
HIRAN GONÇALVES,PMN,RR
HISSA ABRAHÃO,PPS,AM
HUGO LEAL,PROS,RJ
HUGO MOTTA,PMDB,PB
INDIO DA COSTA,PSD,RJ
IRACEMA PORTELLA,PP,PI
IRAJÁ ABREU,PSD,TO
IRMÃO LAZARO,PSC,BA
IVAN VALENTE,PSOL,SP
IZALCI,PSDB,DF
JAIME MARTINS,PSD,MG
JAIR BOLSONARO,PP,RJ
JANDIRA FEGHALI,PCdoB,RJ
JANETE CAPIBERIBE,PSB,AP
JARBAS VASCONCELOS,PMDB,PE
JEAN WYLLYS,PSOL,RJ
JEFFERSON CAMPOS,PSD,SP
JERÔNIMO GOERGEN,PP,RS
JÉSSICA SALES,PMDB,AC
JHC,SD,AL
JHONATAN DE JESUS,PRB,RR
JÔ MORAES,PCdoB,MG
JOÃO ARRUDA,PMDB,PR
JOÃO CAMPOS,PSDB,GO
JOÃO CARLOS BACELAR,PR,BA
JOÃO CASTELO,PSDB,MA
JOÃO DANIEL,PT,SE
JOÃO DERLY,PCdoB,RS
JOÃO FERNANDO COUTINHO,PSB,PE
JOÃO GUALBERTO,PSDB,BA
JOÃO MARCELO SOUZA,PMDB,MA
JOÃO PAULO PAPA,PSDB,SP
JOÃO RODRIGUES,PSD,SC
JOAQUIM PASSARINHO,PSD,PA
JONY MARCOS,PRB,SE
JORGE BOEIRA,PP,SC
JORGE CÔRTE REAL,PTB,PE
JORGE SOLLA,PT,BA
JORGE TADEU MUDALEN,DEM,SP
JORGINHO MELLO,PR,SC
JOSÉ AIRTON CIRILO,PT,CE
JOSÉ CARLOS ALELUIA,DEM,BA
JOSÉ CARLOS ARAÚJO,PSD,BA
JOSÉ FOGAÇA,PMDB,RS
JOSÉ GUIMARÃES,PT,CE
JOSÉ MENTOR,PT,SP
JOSÉ NUNES,PSD,BA
JOSÉ OTÁVIO GERMANO,PP,RS
JOSÉ PRIANTE,PMDB,PA
JOSÉ REINALDO,PSB,MA
JOSÉ ROCHA,PR,BA
JOSE STÉDILE,PSB,RS
JOSI NUNES,PMDB,TO
JOSUÉ BENGTSON,PTB,PA
JOVAIR ARANTES,PTB,GO
JOZI ROCHA,PTB,AP
JÚLIA MARINHO,PSC,PA
JÚLIO CESAR,PSD,PI
JÚLIO DELGADO,PSB,MG
JULIO LOPES,PP,RJ
JUNIOR MARRECA,PEN,MA
JUSCELINO FILHO,PRP,MA
JUTAHY JUNIOR,PSDB,BA
KAIO MANIÇOBA,PHS,PE
KEIKO OTA,PSB,SP
LAERCIO OLIVEIRA,SD,SE
LAERTE BESSA,PR,DF
LAUDIVIO CARVALHO,PMDB,MG
LÁZARO BOTELHO,PP,TO
LEANDRE,PV,PR
LELO COIMBRA,PMDB,ES
LEO DE BRITO,PT,AC
LEONARDO MONTEIRO,PT,MG
LEONARDO PICCIANI,PMDB,RJ
LEONARDO QUINTÃO,PMDB,MG
LEÔNIDAS CRISTINO,PROS,CE
LEOPOLDO MEYER,PSB,PR
LINCOLN PORTELA,PR,MG
LINDOMAR GARÇON,PMDB,RO
LOBBE NETO,PSDB,SP
LUCAS VERGILIO,SD,GO
LUCIANA SANTOS,PCdoB,PE
LUCIANO DUCCI,PSB,PR
LUCIO MOSQUINI,PMDB,RO
LÚCIO VALE,PR,PA
LUCIO VIEIRA LIMA,PMDB,BA
LUIS CARLOS HEINZE,PP,RS
LUIS TIBÉ,PTdoB,MG
LUIZ CARLOS BUSATO,PTB,RS
LUIZ CARLOS HAULY,PSDB,PR
LUIZ CARLOS RAMOS,PSDC,RJ
LUIZ CLÁUDIO,PR,RO
LUIZ COUTO,PT,PB
LUIZ FERNANDO FARIA,PP,MG
LUIZ LAURO FILHO,PSB,SP
LUIZ NISHIMORI,PR,PR
LUIZ SÉRGIO,PT,RJ
LUIZA ERUNDINA,PSB,SP
LUIZIANNE LINS,PT,CE
MACEDO,PSL,CE
MAGDA MOFATTO,PR,GO
MAJOR OLIMPIO,PDT,SP
MANDETTA,DEM,MS
MANOEL JUNIOR,PMDB,PB
MARA GABRILLI,PSDB,SP
MARCELO AGUIAR,DEM,SP
MARCELO ÁLVARO ANTÔNIO,PRP,MG
MARCELO ARO,PHS,MG
MARCELO BELINATI,PP,PR
MARCELO CASTRO,PMDB,PI
MARCELO MATOS,PDT,RJ
MARCELO SQUASSONI,PRB,SP
MARCIO ALVINO,PR,SP
MÁRCIO MARINHO,PRB,BA
MARCO MAIA,PT,RS
MARCO TEBALDI,PSDB,SC
MARCON,PT,RS
MARCOS ABRÃO,PPS,GO
MARCOS MONTES,PSD,MG
MARCOS REATEGUI,PSC,AP
MARCOS ROGÉRIO,PDT,RO
MARCOS ROTTA,PMDB,AM
MARCOS SOARES,PR,RJ
MARCUS PESTANA,PSDB,MG
MARCUS VICENTE,PP,ES
MARGARIDA SALOMÃO,PT,MG
MARIA DO ROSÁRIO,PT,RS
MARIA HELENA,PSB,RR
MARIANA CARVALHO,PSDB,RO
MARINALDO ROSENDO,PSB,PE
MARINHA RAUPP,PMDB,RO
MÁRIO HERINGER,PDT,MG
MÁRIO NEGROMONTE JR.,PP,BA
MARQUINHO MENDES,PMDB,RJ
MARX BELTRÃO,PMDB,AL
MAURÍCIO QUINTELLA LESSA,PR,AL
MAURO LOPES,PMDB,MG
MAURO MARIANI,PMDB,SC
MAURO PEREIRA,PMDB,RS
MAX FILHO,PSDB,ES
MENDONÇA FILHO,DEM,PE
MERLONG SOLANO,PT,PI
MIGUEL HADDAD,PSDB,SP
MIGUEL LOMBARDI,PR,SP
MILTON MONTI,PR,SP
MIRO TEIXEIRA,PROS,RJ
MISAEL VARELLA,DEM,MG
MISSIONÁRIO JOSÉ OLIMPIO,PP,SP
MOEMA GRAMACHO,PT,BA
MORONI TORGAN,DEM,CE
MOSES RODRIGUES,PPS,CE
NELSON MARCHEZAN JUNIOR,PSDB,RS
NELSON MARQUEZELLI,PTB,SP
NELSON MEURER,PP,PR
NEWTON CARDOSO JR,PMDB,MG
NILSON LEITÃO,PSDB,MT
NILSON PINTO,PSDB,PA
NILTO TATTO,PT,SP
NILTON CAPIXABA,PTB,RO
ODELMO LEÃO,PP,MG
ODORICO MONTEIRO,PT,CE
ONYX LORENZONI,DEM,RS
ORLANDO SILVA,PCdoB,SP
OSMAR BERTOLDI,DEM,PR
OSMAR SERRAGLIO,PMDB,PR
OSMAR TERRA,PMDB,RS
OTAVIO LEITE,PSDB,RJ
PADRE JOÃO,PT,MG
PAES LANDIM,PTB,PI
PASTOR EURICO,PSB,PE
PASTOR FRANKLIN,PTdoB,MG
PAUDERNEY AVELINO,DEM,AM
PAULÃO,PT,AL
PAULO ABI-ACKEL,PSDB,MG
PAULO AZI,DEM,BA
PAULO FEIJÓ,PR,RJ
PAULO FOLETTO,PSB,ES
PAULO FREIRE,PR,SP
PAULO MAGALHÃES,PSD,BA
PAULO MALUF,PP,SP
PAULO PEREIRA DA SILVA,SD,SP
PAULO PIMENTA,PT,RS
PAULO TEIXEIRA,PT,SP
PEDRO CHAVES,PMDB,GO
PEDRO CUNHA LIMA,PSDB,PB
PEDRO FERNANDES,PTB,MA
PEDRO UCZAI,PT,SC
PEDRO VILELA,PSDB,AL
POMPEO DE MATTOS,PDT,RS
PR. MARCO FELICIANO,PSC,SP
PROFESSOR VICTÓRIO GALLI,PSC,MT
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO
PROFESSORA MARCIVANIA,PT,AP
RAFAEL MOTTA,PROS,RN
RAIMUNDO GOMES DE MATOS,PSDB,CE
RAQUEL MUNIZ,PSC,MG
RAUL JUNGMANN,PPS,PE
REGINALDO LOPES,PT,MG
REMÍDIO MONAI,PR,RR
RENATA ABREU,PTN,SP
RENATO MOLLING,PP,RS
RENZO BRAZ,PP,MG
RICARDO BARROS,PP,PR
RICARDO IZAR,PSD,SP
RICARDO TEOBALDO,PTB,PE
RICARDO TRIPOLI,PSDB,SP
ROBERTO ALVES,PRB,SP
ROBERTO BALESTRA,PP,GO
ROBERTO BRITTO,PP,BA
ROBERTO FREIRE,PPS,SP
ROBERTO GÓES,PDT,AP
ROBERTO SALES,PRB,RJ
ROCHA,PSDB,AC
RODRIGO DE CASTRO,PSDB,MG
RODRIGO MAIA,DEM,RJ
RODRIGO MARTINS,PSB,PI
RODRIGO PACHECO,PMDB,MG
ROGÉRIO MARINHO,PSDB,RN
ROGÉRIO PENINHA MENDONÇA,PMDB,SC
ROGÉRIO ROSSO,PSD,DF
RÔMULO GOUVEIA,PSD,PB
RONALDO BENEDET,PMDB,SC
RONALDO CARLETTO,PP,BA
RONALDO FONSECA,PROS,DF
RONALDO LESSA,PDT,AL
RONALDO MARTINS,PRB,CE
RONALDO NOGUEIRA,PTB,RS
RONEY NEMER,PMDB,DF
ROSANGELA GOMES,PRB,RJ
ROSSONI,PSDB,PR
RUBENS BUENO,PPS,PR
RUBENS OTONI,PT,GO
RUBENS PEREIRA JÚNIOR,PCdoB,MA
SÁGUAS MORAES,PT,MT
SAMUEL MOREIRA,PSDB,SP
SANDES JÚNIOR,PP,GO
SANDRO ALEX,PPS,PR
SARAIVA FELIPE,PMDB,MG
SARNEY FILHO,PV,MA
SÉRGIO BRITO,PSD,BA
SÉRGIO MORAES,PTB,RS
SÉRGIO REIS,PRB,SP
SERGIO SOUZA,PMDB,PR
SERGIO VIDIGAL,PDT,ES
SERGIO ZVEITER,PSD,RJ
SHÉRIDAN,PSDB,RR
SIBÁ MACHADO,PT,AC
SILAS BRASILEIRO,PMDB,MG
SILAS CÂMARA,PSD,AM
SILAS FREIRE,PR,PI
SILVIO COSTA,PSC,PE
SILVIO TORRES,PSDB,SP
SIMÃO SESSIM,PP,RJ
SIMONE MORGADO,PMDB,PA
SORAYA SANTOS,PMDB,RJ
SÓSTENES CAVALCANTE,PSD,RJ
STEFANO AGUIAR,PSB,MG
SUBTENENTE GONZAGA,PDT,MG
TADEU ALENCAR,PSB,PE
TAKAYAMA,PSC,PR
TENENTE LÚCIO,PSB,MG
TEREZA CRISTINA,PSB,MS
TIA ERON,PRB,BA
TIRIRICA,PR,SP
TONINHO PINHEIRO,PP,MG
TONINHO WANDSCHEER,PT,PR
ULDURICO JUNIOR,PTC,BA
VALADARES FILHO,PSB,SE
VALDIR COLATTO,PMDB,SC
VALMIR ASSUNÇÃO,PT,BA
VALMIR PRASCIDELLI,PT,SP
VALTENIR PEREIRA,PROS,MT
VANDER LOUBET,PT,MS
VANDERLEI MACRIS,PSDB,SP
VENEZIANO VITAL DO RÊGO,PMDB,PB
VICENTE CANDIDO,PT,SP
VICENTINHO,PT,SP
VICENTINHO JÚNIOR,PSB,TO
VICTOR MENDES,PV,MA
VINICIUS CARVALHO,PRB,SP
VINICIUS GURGEL,PR,AP
VITOR LIPPI,PSDB,SP
VITOR VALIM,PMDB,CE
WADSON RIBEIRO,PCdoB,MG
WALDENOR PEREIRA,PT,BA
WALDIR MARANHÃO,PP,MA
WALNEY ROCHA,PTB,RJ
WALTER ALVES,PMDB,RN
WALTER IHOSHI,PSD,SP
WASHINGTON REIS,PMDB,RJ
WELITON PRADO,PT,MG
WELLINGTON ROBERTO,PR,PB
WEVERTON ROCHA,PDT,MA
WILLIAM WOO,PV,SP
WILSON FILHO,PTB,PB
WLADIMIR COSTA,SD,PA
WOLNEY QUEIROZ,PDT,PE
ZÉ CARLOS,PT,MA
ZÉ GERALDO,PT,PA
ZÉ SILVA,SD,MG
ZECA CAVALCANTI,PTB,PE
ZECA DIRCEU,PT,PR
ZECA DO PT,PT,MS
ZENAIDE MAIA,PR,RN
